PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
3hfA0,r5k1/pp3pp1/7p/3pQ3/6q1/1PP2N2/P4PR1/7K b - - 0 30,g4f3 e5g7,766,77,100,1316,endgame mate mateIn1 oneMove,https://lichess.org/0Hv4ei3c/black#60,
fcCiC,8/8/1R4pk/4KP1p/7r/8/8/8 b - - 1 57,h6g5 b6g6,767,94,100,1459,endgame epauletteMate master mate mateIn1 oneMove rookEndgame,https://lichess.org/3lKRL43M/black#114,
Z09rj,r1q2bk1/2P3r1/3pbn2/P3p3/1PB1Ppp1/8/2QB1NnP/2R2R1K b - - 1 28,g7c7 c4e6 c8e6 c2c7,768,80,100,2328,advantage discoveredAttack master middlegame short,https://lichess.org/VLgBo444/black#56,
oLJ2o,6k1/5ppp/4pqn1/1bP1N3/8/4QB2/5PPP/6K1 w - - 2 29,e5g6 f6a1 f3d1 a1d1 e3e1 d1e1,768,76,100,1975,endgame long mate mateIn3,https://lichess.org/AcK0bzbG#57,
BfPsP,6r1/1pp1R2k/7b/p6p/3P4/2P1p3/qPB3PP/5RK1 b - - 1 29,h7h8 e7h7,769,77,100,2018,endgame mate mateIn1 oneMove operaMate,https://lichess.org/7JFmcOyC/black#58,
K1M2s,1R6/2p1kp2/4p3/pB1pBn2/3P4/K3P3/PPb2r2/2r5 b - - 1 33,f5e3 b8e8,770,76,100,1495,mate mateIn1 middlegame oneMove operaMate pillsburysMate,https://lichess.org/6jAfGcB2/black#66,
zDVG3,8/1k6/1p6/7P/p4q2/3Q3K/5PP1/8 w - - 10 53,d3f3 f4f3 g2f3 a4a3,772,77,100,1785,crushing endgame queenEndgame short,https://lichess.org/RCGzTLYy#105,
Rm4GS,2r2r1k/pp1b3p/6p1/3B2q1/1n2P1p1/1KP3B1/PP1R3P/4R3 b - - 6 25,g5d2 g3e5 f8f6 e5f6,773,76,100,1470,doubleBishopMate kingsideAttack mate mateIn2 middlegame short,https://lichess.org/LZTTbOLY/black#50,
HVfLY,8/1p1k4/p1b5/5p1p/6pP/3PB1P1/P3rP2/2Q3K1 w - - 4 34,c1c5 e2e1 g1h2 e1h1,775,78,100,2621,endgame mate mateIn2 operaMate short,https://lichess.org/wn7F0TQ8#67,
tUVEY,4k2r/ppp2ppp/2n1b3/2b5/6n1/1P6/PBP2PPP/RN2Q1K1 w k - 1 17,b1d2 c5f2 e1f2 g4f2,784,93,100,2648,advantage fork middlegame short,https://lichess.org/aDCDEdyq#33,Bishops_Opening Bishops_Opening_Urusov_Gambit
jaIyL,1br1k2r/1pqnn1pp/P3p3/3p1p2/3P4/P1NBP2P/3BQPP1/R1R3K1 w k - 1 18,a6b7 c7h2 g1f1 h2h1,785,77,100,1528,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/aA5tawKI#35,Slav_Defense Slav_Defense_Other_variations
